Jump	Col 359 Sector KB-C c14-22	4.88 Ly	Nyarlathotep	31 Aug 2022, 20:34
Jump	Col 359 Sector UC-E b28-3	7.94 Ly	Nyarlathotep	31 Aug 2022, 20:34
Jump	Col 359 Sector UC-E b28-4	12.02 Ly	Nyarlathotep	31 Aug 2022, 20:33
Jump	Col 359 Sector PW-F b27-0	9.55 Ly	Nyarlathotep	31 Aug 2022, 20:29
Jump	Col 359 Sector PW-F b27-4	10.70 Ly	Nyarlathotep	31 Aug 2022, 20:23
Jump	Col 359 Sector GV-D c13-14	7.09 Ly	Nyarlathotep	31 Aug 2022, 20:21
Jump	Col 359 Sector GV-D c13-15	10.58 Ly	Nyarlathotep	31 Aug 2022, 20:19
Jump	Col 359 Sector GV-D c13-16	8.16 Ly	Nyarlathotep	31 Aug 2022, 20:11
Jump	Col 359 Sector KQ-H b26-3	9.14 Ly	Nyarlathotep	31 Aug 2022, 20:11
Jump	Col 359 Sector GV-D c13-18	10.70 Ly	Nyarlathotep	31 Aug 2022, 20:09
Jump	Col 359 Sector HK-J b25-0	6.79 Ly	Nyarlathotep	31 Aug 2022, 20:08
Jump	Col 359 Sector DE-L b24-3	4.83 Ly	Nyarlathotep	31 Aug 2022, 20:06
Jump	Col 359 Sector DE-L b24-2	5.58 Ly	Nyarlathotep	31 Aug 2022, 20:05
Jump	Col 359 Sector CP-F c12-22	3.16 Ly	Nyarlathotep	31 Aug 2022, 20:03
Jump	Col 359 Sector CP-F c12-21	6.25 Ly	Nyarlathotep	31 Aug 2022, 19:58
Jump	Col 359 Sector EV-O d6-11	7.82 Ly	Nyarlathotep	31 Aug 2022, 19:39
Jump	Col 359 Sector ZX-M b23-0	11.14 Ly	Nyarlathotep	31 Aug 2022, 19:36
Jump	Col 359 Sector YI-H c11-14	8.75 Ly	Nyarlathotep	31 Aug 2022, 19:32
Jump	Col 359 Sector YI-H c11-15	12.16 Ly	Nyarlathotep	31 Aug 2022, 19:29
Jump	IC 4604 Sector CV-P b5-4	2.00 Ly	Nyarlathotep	31 Aug 2022, 19:28
Jump	IC 4604 Sector CV-P b5-3	8.05 Ly	Nyarlathotep	31 Aug 2022, 19:26
Jump	IC 4604 Sector CV-P b5-5	11.73 Ly	Nyarlathotep	31 Aug 2022, 19:24
Jump	IC 4604 Sector BV-P b5-1	6.32 Ly	Nyarlathotep	31 Aug 2022, 19:22
Jump	IC 4604 Sector GG-Y d104	6.09 Ly	Nyarlathotep	28 Aug 2022, 23:37
Jump	IC 4604 Sector GG-Y d105	8.99 Ly	Nyarlathotep	28 Aug 2022, 23:19
Jump	IC 4604 Sector XO-R b4-3	9.31 Ly	Nyarlathotep	28 Aug 2022, 23:18
Jump	IC 4604 Sector XO-R b4-5	7.39 Ly	Nyarlathotep	28 Aug 2022, 23:16
Jump	IC 4604 Sector XO-R b4-0	13.34 Ly	Nyarlathotep	28 Aug 2022, 23:14
Jump	IC 4604 Sector SI-T b3-2	3.17 Ly	Nyarlathotep	28 Aug 2022, 23:13
Jump	IC 4604 Sector FG-Y d24	8.26 Ly	Nyarlathotep	28 Aug 2022, 23:08
Jump	IC 4604 Sector JR-W c1-13	6.93 Ly	Nyarlathotep	28 Aug 2022, 22:53
Jump	IC 4604 Sector JR-W c1-14	11.78 Ly	Nyarlathotep	28 Aug 2022, 22:51
Jump	IC 4604 Sector BA-A d99	9.23 Ly	Nyarlathotep	28 Aug 2022, 22:48
Jump	IC 4604 Sector DQ-Y c13	4.87 Ly	Nyarlathotep	28 Aug 2022, 22:43
Jump	IC 4604 Sector DQ-Y c17	9.09 Ly	Nyarlathotep	28 Aug 2022, 22:42
Jump	IC 4604 Sector DQ-Y c3	11.23 Ly	Nyarlathotep	28 Aug 2022, 22:35
Jump	IC 4604 Sector DQ-Y c5	5.91 Ly	Nyarlathotep	28 Aug 2022, 22:32
Jump	IC 4604 Sector HB-X b1-2	7.62 Ly	Nyarlathotep	28 Aug 2022, 22:18
Jump	IC 4604 Sector HB-X b1-0	12.11 Ly	Nyarlathotep	28 Aug 2022, 22:16
Jump	IC 4604 Sector ZE-A d42	6.18 Ly	Nyarlathotep	28 Aug 2022, 22:15
Jump	IC 4604 Sector CV-Y b1	6.54 Ly	Nyarlathotep	28 Aug 2022, 22:13
Jump	IC 4604 Sector DV-Y b0	13.10 Ly	Nyarlathotep	28 Aug 2022, 22:10
Landed	Ophiuchus Dark Region B Sector EL-Y d43 - Ophiuchus Dark Region B Sector EL-Y d43 2 a	0 Ly	Nyarlathotep	28 Aug 2022, 13:06
Landed	Ophiuchus Dark Region B Sector EL-Y d43 - Ophiuchus Dark Region B Sector EL-Y d43 2 a	0 Ly	Nyarlathotep	28 Aug 2022, 12:59
Jump	Ophiuchus Dark Region B Sector EL-Y d43	10.63 Ly	Nyarlathotep	28 Aug 2022, 12:53
Jump	Rho Ophiuchi Sector FW-W d1-12	7.17 Ly	Nyarlathotep	28 Aug 2022, 12:50
Jump	Rho Ophiuchi Sector BQ-Y d53	7.80 Ly	Nyarlathotep	28 Aug 2022, 12:49
Jump	Rho Ophiuchi Sector LX-T b3-2	10.40 Ly	Nyarlathotep	28 Aug 2022, 12:46
Jump	Rho Ophiuchi Sector MX-T b3-3	7.93 Ly	Nyarlathotep	28 Aug 2022, 12:43
Jump	Rho Ophiuchi Sector MX-T b3-4	12.78 Ly	Nyarlathotep	28 Aug 2022, 12:41
Jump	Rho Ophiuchi Sector JM-V b2-3	7.25 Ly	Nyarlathotep	28 Aug 2022, 12:40
Jump	Rho Ophiuchi Sector JM-V b2-4	8.76 Ly	Nyarlathotep	28 Aug 2022, 12:39
Jump	HIP 80474	8.98 Ly	Nyarlathotep	28 Aug 2022, 12:35
Jump	Rho Ophiuchi Sector CQ-Y c5	7.27 Ly	Nyarlathotep	28 Aug 2022, 12:33
Jump	Rho Ophiuchi Sector CQ-Y c10	6.51 Ly	Nyarlathotep	28 Aug 2022, 12:27
Jump	Rho Ophiuchi Sector CQ-Y c11	5.09 Ly	Nyarlathotep	28 Aug 2022, 12:22
Jump	Rho Ophiuchi Sector FG-X b1-2	8.52 Ly	Nyarlathotep	28 Aug 2022, 12:17
Jump	Rho Ophiuchi Sector DV-Y b6	10.99 Ly	Nyarlathotep	28 Aug 2022, 12:16
Jump	Col 359 Sector BE-Q c6-19	8.27 Ly	Nyarlathotep	28 Aug 2022, 12:07
Jump	Col 359 Sector BE-Q c6-20	10.71 Ly	Nyarlathotep	28 Aug 2022, 12:04
Jump	HIP 80462	11.04 Ly	Nyarlathotep	28 Aug 2022, 12:02
Jump	HIP 80799	7.87 Ly	Nyarlathotep	28 Aug 2022, 12:01
